Lime question,-----current variable name,variable,dummyVariable,variableType,method,target,databaseStart,variableStart,variableStartType,catValues,numValidCat,catLabel,catLabelLong,units,low,high,From,interval,catStartLabel,reference,variableStartShortLabel,variableStartLabel,Notes
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2001,DHHAGAGE,cat,15,15,Age,converted categorical age (80 plus),years,15,15,15:15,,80 Years or more,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,1,15,Age,converted categorical age (12 to 14),years,1,1,1:1,,12 to 14 years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,2,15,Age,converted categorical age (15 to 19),years,2,2,2:2,,15 to 19 years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,3,15,Age,converted categorical age (20 to 24),years,3,3,3:3,,20 To 24 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,4,15,Age,converted categorical age (25 to 29),years,4,4,4:4,,25 To 29 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,5,15,Age,converted categorical age (30 to 34),years,5,5,5:5,,30 To 34 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,6,15,Age,converted categorical age (35 to 39),years,6,6,6:6,,35 To 39 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,7,15,Age,converted categorical age (40 to 44),years,7,7,7:7,,40 To 44 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,8,15,Age,converted categorical age (45 to 49),years,8,8,8:8,,45 To 49 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,9,15,Age,converted categorical age (50 to 54),years,9,9,9:9,,50 To 54 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,10,15,Age,converted categorical age (55 to 59),years,10,10,10:10,,55 To 59 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,11,15,Age,converted categorical age (60 to 64),years,11,11,11:11,,60 To 64 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,12,15,Age,converted categorical age (65 to 69),years,12,12,12:12,,65 To 69 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,13,15,Age,converted categorical age (70 to 74),years,13,13,13:13,,70 To 74 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,14,15,Age,converted categorical age (75 to 79),years,14,14,14:14,,75 To 79 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,15,15,Age,converted categorical age (80 plus),years,15,15,15:15,,80 Years or more,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2003,DHHCGAGE,cat,NA,15,missing,missing,N/A,96,99,96:99,,not applicable (96); don't know (97); refusal (98); not stated (99),,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,1,16,Age,converted categorical age (12 to 14),years,1,1,1:1,"[,]",12 To 14 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,2,16,Age,converted categorical age (15 to 17),years,2,2,2:2,"[,]",15 To 17 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,3,16,Age,converted categorical age (18 to 19),years,3,3,3:3,"[,]",18 To 19 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,4,16,Age,converted categorical age (20 to 24),years,4,4,4:4,"[,]",20 To 24 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,5,16,Age,converted categorical age (25 to 29),years,5,5,5:5,"[,]",25 To 29 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,6,16,Age,converted categorical age (30 to 34),years,6,6,6:6,"[,]",30 To 34 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,7,16,Age,converted categorical age (35 to 39),years,7,7,7:7,"[,]",35 To 39 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,8,16,Age,converted categorical age (40 to 44),years,8,8,8:8,"[,]",40 To 44 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,9,16,Age,converted categorical age (45 to 49),years,9,9,9:9,"[,]",45 To 49 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,10,16,Age,converted categorical age (50 to 54),years,10,10,10:10,"[,]",50 To 54 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,11,16,Age,converted categorical age (55 to 59),years,11,11,11:11,"[,]",55 To 59 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,12,16,Age,converted categorical age (60 to 64),years,12,12,12:12,"[,]",60 To 64 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,13,16,Age,converted categorical age (65 to 69),years,13,13,13:13,"[,]",65 To 69 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,14,16,Age,converted categorical age (70 to 74),years,14,14,14:14,"[,]",70 To 74 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,15,16,Age,converted categorical age (75 to 79),years,15,15,15:15,"[,]",75 To 79 Years,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,PUMF 2005,DHHEGAGE,cat,16,16,Age,converted categorical age (80 plus),years,16,16,16:16,"[,]",80 Years or more,,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,1,16,Age,converted categorical age (12 to 14),years,1,1,1:1,"[,]",12 To 14 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,2,16,Age,converted categorical age (15 to 17),years,2,2,2:2,"[,]",15 To 17 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,3,16,Age,converted categorical age (18 to 19),years,3,3,3:3,"[,]",18 To 19 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,4,16,Age,converted categorical age (20 to 24),years,4,4,4:4,"[,]",20 To 24 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,5,16,Age,converted categorical age (25 to 29),years,5,5,5:5,"[,]",25 To 29 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,6,16,Age,converted categorical age (30 to 34),years,6,6,6:6,"[,]",30 To 34 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,7,16,Age,converted categorical age (35 to 39),years,7,7,7:7,"[,]",35 To 39 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,8,16,Age,converted categorical age (40 to 44),years,8,8,8:8,"[,]",40 To 44 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,9,16,Age,converted categorical age (45 to 49),years,9,9,9:9,"[,]",45 To 49 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,10,16,Age,converted categorical age (50 to 54),years,10,10,10:10,"[,]",50 To 54 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,11,16,Age,converted categorical age (55 to 59),years,11,11,11:11,"[,]",55 To 59 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,12,16,Age,converted categorical age (60 to 64),years,12,12,12:12,"[,]",60 To 64 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,13,16,Age,converted categorical age (65 to 69),years,13,13,13:13,"[,]",65 To 69 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,14,16,Age,converted categorical age (70 to 74),years,14,14,14:14,"[,]",70 To 74 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,15,16,Age,converted categorical age (75 to 79),years,15,15,15:15,"[,]",75 To 79 Years,N/A,Age,Age - (G),
,age,DHHGAGE_cont,N/A,cont,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHHGAGE,cat,16,16,Age,converted categorical age (80 plus),years,16,16,16:16,"[,]",80 Years or more,N/A,Age,Age - (G),
,sex,DHH_SEX,DHH_SEX_cat2_1,cat,Map1_1,CCHS_bllFlow,PUMF 2001,DHHA_SEX,cat,1,2,Male,Male,N/A,1,1,1:1,,Male,,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_2,cat,Map1_1,CCHS_bllFlow,PUMF 2001,DHHA_SEX,cat,2,2,Female,Female,N/A,2,2,2:2,,Female,,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_NA,cat,Map1_1,CCHS_bllFlow,PUMF 2001,DHHA_SEX,cat,NA,2,Missing,Missing,N/A,6,9,6:9,,not applicable (6); not stated (9),,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_1,cat,Map1_1,CCHS_bllFlow,PUMF 2003,DHHC_SEX,cat,1,2,Male,Male,N/A,1,1,1:1,,Male,,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_2,cat,Map1_1,CCHS_bllFlow,PUMF 2004,DHHC_SEX,cat,2,2,Female,Female,N/A,2,2,2:2,,Female,,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_NA,cat,Map1_1,CCHS_bllFlow,PUMF 2005,DHHC_SEX,cat,NA,2,Missing,Missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_1,cat,Map1_1,CCHS_bllFlow,PUMF 2005,DHHE_SEX,cat,1,2,Male,Male,N/A,1,1,1:1,,Male,,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_2,cat,Map1_1,CCHS_bllFlow,PUMF 2005,DHHE_SEX,cat,2,2,Female,Female,N/A,2,2,2:2,,Female,,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_NA,cat,Map1_1,CCHS_bllFlow,PUMF 2005,DHHE_SEX,cat,NA,2,Missing,missing,N/A,6,9,6:9,,not applicable (6); don't know (7); refusal (8); not stated (9),,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_1,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHH_SEX,cat,1,2,Male,Male,N/A,1,1,1:1,"[,]",Male,N/A,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_2,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHH_SEX,cat,2,2,Female,Female,N/A,2,2,2:2,"[,]",Female,N/A,Sex,Sex,
,sex,DHH_SEX,DHH_SEX_cat2_NA,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",DHH_SEX,cat,NA,2,missing,missing,N/A,6,9,6:9,"[,]",not applicable (6); don't know (7); refusal (8); not stated (9),N/A,Sex,Sex,
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_1,cat,Map1_1,CCHS_bllFlow,PUMF 2001,SMKADSTY,cat,1,6,Daily,Daily smoker,N/A,1,1,1:1,,Daily,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_2,cat,Map1_1,CCHS_bllFlow,PUMF 2001,SMKADSTY,cat,2,6,Occassional (former daily),Former daily current occasional smoker,N/A,2,2,2:2,,Occassional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_3,cat,Map1_1,CCHS_bllFlow,PUMF 2001,SMKADSTY,cat,3,6,Always occassional,Never daily current occasional smoker,N/A,3,3,3:3,,Always occassional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_4,cat,Map1_1,CCHS_bllFlow,PUMF 2001,SMKADSTY,cat,4,6,Former daily,Former daily current nonsmoker,N/A,4,4,4:4,,Former daily,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_5,cat,Map1_1,CCHS_bllFlow,PUMF 2001,SMKADSTY,cat,5,6,Former occasional,Never daily current nonsmoker (former occasional),N/A,5,5,5:5,,Former occasional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_6,cat,Map1_1,CCHS_bllFlow,PUMF 2001,SMKADSTY,cat,6,6,Never smoked,Never smoked,N/A,6,6,6:6,,Never smoked,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_NA,cat,Map1_1,CCHS_bllFlow,PUMF 2001,SMKADSTY,cat,NA,6,missing,missing,N/A,96,99,96:99,,not applicable (96); not stated (99),,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_1,cat,Map1_1,CCHS_bllFlow,PUMF 2003,SMKCDSTY,cat,1,6,Daily,Daily smoker,N/A,1,1,1:1,,Daily,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_2,cat,Map1_1,CCHS_bllFlow,PUMF 2003,SMKCDSTY,cat,2,6,Occassional (former daily),Former daily current occasional smoker,N/A,2,2,2:2,,Occassional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_3,cat,Map1_1,CCHS_bllFlow,PUMF 2003,SMKCDSTY,cat,3,6,Always occassional,Never daily current occasional smoker,N/A,3,3,3:3,,Always occassional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_4,cat,Map1_1,CCHS_bllFlow,PUMF 2003,SMKCDSTY,cat,4,6,Former daily,Former daily current nonsmoker,N/A,4,4,4:4,,Former daily,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_5,cat,Map1_1,CCHS_bllFlow,PUMF 2003,SMKCDSTY,cat,5,6,Former occasional,Never daily current nonsmoker (former occasional),N/A,5,5,5:5,,Former occasional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_6,cat,Map1_1,CCHS_bllFlow,PUMF 2003,SMKCDSTY,cat,6,6,Never smoked,Never smoked,N/A,6,6,6:6,,Never smoked,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_NA,cat,Map1_1,CCHS_bllFlow,PUMF 2003,SMKCDSTY,cat,NA,6,missing,missing,N/A,96,99,96:99,,not applicable (96); don't know (97); refusal (98); not stated (99),,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_1,cat,Map1_1,CCHS_bllFlow,PUMF 2005,SMKEDSTY,cat,1,6,Daily,Daily smoker,N/A,1,1,1:1,,Daily,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_2,cat,Map1_1,CCHS_bllFlow,PUMF 2005,SMKEDSTY,cat,2,6,Occassional (former daily),Former daily current occasional smoker,N/A,2,2,2:2,,Occassional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_3,cat,Map1_1,CCHS_bllFlow,PUMF 2005,SMKEDSTY,cat,3,6,Always occassional,Never daily current occasional smoker,N/A,3,3,3:3,,Always occassional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_4,cat,Map1_1,CCHS_bllFlow,PUMF 2005,SMKEDSTY,cat,4,6,Former daily,Former daily current nonsmoker,N/A,4,4,4:4,,Former daily,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_5,cat,Map1_1,CCHS_bllFlow,PUMF 2005,SMKEDSTY,cat,5,6,Former occasional,Never daily current nonsmoker (former occasional),N/A,5,5,5:5,,Former occasional,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_6,cat,Map1_1,CCHS_bllFlow,PUMF 2005,SMKEDSTY,cat,6,6,Never smoked,Never smoked,N/A,6,6,6:6,,Never smoked,,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_NA,cat,Map1_1,CCHS_bllFlow,PUMF 2005,SMKEDSTY,cat,NA,6,missing,missing,N/A,96,99,96:99,,not applicable (96); don't know (97); refusal (98); not stated (99),,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_1,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",SMKDSTY,cat,1,6,Daily,Daily smoker,N/A,1,1,1:1,"[,]",Daily,0,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_2,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",SMKDSTY,cat,2,6,Occassional (former daily),Former daily current occasional smoker,N/A,2,2,2:2,"[,]",Occassional,0,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_3,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",SMKDSTY,cat,3,6,Always occassional,Never daily current occasional smoker,N/A,3,3,3:3,"[,]",Always occassional,0,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_4,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",SMKDSTY,cat,4,6,Former daily,Former daily current nonsmoker,N/A,4,4,4:4,"[,]",Former daily,0,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_5,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",SMKDSTY,cat,5,6,Former occasional,Never daily current nonsmoker (former occasional),N/A,5,5,5:5,"[,]",Former occasional,0,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_6,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",SMKDSTY,cat,6,6,Never smoked,Never smoked,N/A,6,6,6:6,"[,]",Never smoked,1,Smoke status,Type of smoker - (D),
,TypeOfSmoker2,SMKDSTY,SMKDSTY_cat6_NA,cat,Map1_1,CCHS_bllFlow,"PUMF 2007-2008, 2009-2010, 2010, 2011-2012, 2012, 2013-2014, 2014",SMKDSTY,cat,NA,6,missing,missing,N/A,96,99,96:99,"[,]",not applicable (96); don't know (97); refusal (98); not stated (99),0,Smoke status,Type of smoker - (D),
Ever smoked a whole cigarette? (wcig),wcig1,SMK_01B,SMK_01B_cat2_1,cat,Map1_1,PoRT_limesurvey,PUMF 2013-2014,SMK_01B,cat,1,2,yes,yes,N/A,1,1,1:1,"[,]",Yes,N/A,Ever smoke,Ever smoked a whole cigarette,
,wcig2,SMK_01B,SMK_01B_cat2_2,cat,Map1_1,PoRT_limesurvey,PUMF 2013-2014,SMK_01B,cat,2,2,no,no,N/A,2,2,2:2,"[,]",No,N/A,Ever smoke,Ever smoked a whole cigarette,
,wcig,SMK_01B,SMK_01B_cat2_N/A,cat,Map1_1,PoRT_limesurvey,PUMF 2013-2014,SMK_01B,cat,N/A,2,not applicable,not applicable,N/A,6,6,6:6,"[,]",Not applicable,N/A,Ever smoke,Ever smoked a whole cigarette,
,wcig,SMK_01B,SMK_01B_cat2_NA,cat,Map1_1,PoRT_limesurvey,PUMF 2013-2014,SMK_01B,cat,NA,2,missing,missing,N/A,7,9,7:9,"[,]",don't know (7); refusal (8); not stated (9),N/A,Ever smoke,Ever smoked a whole cigarette,
,agec1,SMKG01C_cont,N/A,cont,Map1_1,PoRT_limesurvey,PUMF 2001,SMKAG01C,cat,N/A,N/A,agec1,converted categorical age smoked first whole cigarette (5 to 11),years,1,1,1:1,"[,]",5 To 11 Years,N/A,agec1,Age smoked first whole cigarette - (G),
